"","stock","Open","High","Low","Close","Volume","Adjusted","BBand_pctB","RSI","PPO","ATR","EMA3","EMA30","EMADiff","mySignal","stopPct","buysell"
"2","TNA","68.92","69.86","67.68","69.65","10239400","69.65","0.247162418693488","41.2978011458837","-1.39081980206173","2.34067629663063","68.6694990537294","74.9598632785802","-0.0839164314037413","-21.2392318136242","6.72125282593146","-"
"21","SSO","103.39","104.14","102.49","104.05","3336400","104.05","0.53243893640492","52.1689416635415","-0.350288458534794","1.49997359591261","102.716244786072","103.133922714247","-0.00404985980541131","2.03269367723799","2.88317846403193","-"
"3","UPRO","96.89","98","95.69","97.97","1335200","97.97","0.526902310208074","51.9967308911759","-0.53219875421339","2.10697001319502","96.0473961709158","96.7730873870901","-0.00749889494867092","1.42021642871669","4.30125551331024","-"
"4","FAS","87.25","88.49","86.15","88.44","2567900","88.44","0.340429930087846","47.5773382025956","-0.999985875272812","2.12158141285775","86.8170539884049","89.7505103210577","-0.0326845643791792","-9.07470453377507","4.79778700329658","-"
"5","QLD","94.94","95.77","93.39","95.71","2783600","95.71","0.334847362194827","44.7613011887194","-0.539416396328876","1.97744827239573","94.454380885605","98.6874972751737","-0.0428941507936442","-12.3472551329542","4.13216648708751","-"
"6","ERX","98.56","100.3","98.04","100.28","362800","100.28","1.04609859713908","67.3053533606584","0.443345268951966","2.18840175680776","97.2884145550192","90.0758551545503","0.0800720613542191","34.6386860843928","4.36458268210562","SELL"
"7","UWM","79.55","80.31","78.62","80.14","602600","80.14","0.251825533519139","41.8176100328877","-0.901704503194532","1.74923521829743","79.3963781001938","83.9051954576294","-0.0537370461131036","-17.7148587486661","4.3654485108496","-"
"8","AGQ","63","63.19","62.45","63.19","118700","63.19","0.142113915344194","37.8899082236373","0.0441183700330314","1.2151707748111","63.583828396291","66.6020628331742","-0.0453174317504746","-22.5614641237146","3.84608569334105","-"
"9","DDM","112.59","113.35","111.96","113.35","297400","113.35","0.66264420131386","54.605904777144","-0.213247311201557","1.46305876275678","111.887589571588","111.472702053123","0.00372187549798211","7.89272116550273","2.58148877416283","-"
"10","UST","52.33","52.41","52.29","52.34","183100","52.34","0.790354695629115","57.1880041372724","0.19724984439671","0.178103774169465","52.4135033920293","51.8356483615485","0.0111478306676194","13.7646535604441","0.680564670116414","-"
"11","VIX","16.14","17.5","15.47","15.61","0","15.61","0.725188683126986","53.2026327745676","1.63004219065146","0.641864409700103","15.8648096192215","14.9017046742571","0.06463052154216","14.4947438133163","8.22375925304424","-"
"12","AUY","8.38","8.4","8.01","8.02","13412300","8.02","-0.0823738592505007","26.8316616287837","-0.44246605887323","0.156503073009177","8.25386414032599","9.01591569184681","-0.084522923413088","-40.3878926009835","3.90281977578995","BUY"
"13","XLK","35.93","36.09","35.68","36.08","13999700","36.08","0.479021594321532","51.2566744629134","-0.189698060531998","0.295572988322198","35.8599883806577","35.9676238916814","-0.00299256663014024","0.118789042209335","1.63843119912527","-"
"14","INTU","74.1","74.49","73.5","74.27","1100600","74.27","0.249610560523024","39.3991947187833","-0.592874928265717","0.707758233668868","73.9255644837333","76.3473946785009","-0.0317211897664081","-17.3824589244777","1.90590610924699","-"
